campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Dearborn,VISITING PROFESSOR,Dbn Col of Bus-Acctg & Finance,122000,8-Month,1,122000
Dearborn,ASSOC PROFESSOR,Dbn CASL-Biological Sciences,78397,8-Month,1,78397
Dearborn,LEO Lecturer I,Dbn CASL-Physical Sciences,41820,8-Month,0.88,36801.6
Dearborn,ASST PROFESSOR,Dbn CASL-Social Sciences,74881,8-Month,1,74881
Dearborn,LEO Intermittent Lecturer,Dbn CEHHS Health & Human Serv,41820,8-Month,0.5,20910
Dearborn,ASSOC PROFESSOR,Dbn CASL-Math & Statistics,82659,8-Month,1,82659
Dearborn,PROFESSOR,Dbn Col of Bus-Mgmt Studies,157092,8-Month,1,157092
Dearborn,LEO Lecturer IV,Dbn CASL-Social Sciences,63370.47,8-Month,1,63370.47
Dearborn,LEO Lecturer I,Dbn Coll of Eng-Mechanical Eng,47599.98,8-Month,0.33,15707.99
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Electric & Comp,99000,8-Month,1,99000
Dearborn,LEO Lecturer IV,Dbn CASL-Biological Sciences,63613.04,8-Month,1,63613.04
Dearborn,ASST PROFESSOR,Dbn CASL College-Wide Programs,74231,8-Month,1,74231
Dearborn,PROFESSOR,Dbn CASL-Math & Statistics,108848,8-Month,0.25,27212
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Electric & Comp,100686,8-Month,1,100686
Dearborn,LEO Lecturer I,Dbn-Language Culture Communctn,41820,8-Month,0.75,31365
Dearborn,LEO Lecturer II,Dbn CASL-Math & Statistics,44217.09,8-Month,1,44217.09
Dearborn,ASST PROFESSOR,Dbn CASL College-Wide Programs,66881,8-Month,1,66881
Dearborn,PROFESSOR,Dbn CASL-Physical Sciences,89888,8-Month,1,89888
Dearborn,LEO Lecturer III,Dbn Coll of Eng-Mechanical Eng,76500,8-Month,1,76500
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Indust & Sys En,113207,8-Month,1,113207
Dearborn,PROFESSOR,Dbn Col of Bus-Acctg & Finance,172739,8-Month,1,172739
Dearborn,PROFESSOR,Dbn-Language Culture Communctn,88742,8-Month,1,88742
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Mgmt Studies,141257,8-Month,1,141257
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Mgmt Studies,117144,8-Month,1,117144
Dearborn,ASSOC PROFESSOR,Dbn CASL-Psychology,83767,8-Month,1,83767
Dearborn,PROFESSOR,Dbn Coll of Eng-Mechanical Eng,160551,8-Month,1,160551
